MITRE Enterprise ATT&CK v8.2,NIST CSF,CIS Controls v8
T1563.002,PR.AC-5,16
T1021.001,PR.AC-5,16
T1021.003,PR.AC-5,16
T1021.006,PR.AC-5,16
T1489,PR.AC-5,16
T1072,PR.AC-5,16
T1199,PR.AC-5,16
T1546.008,PR.AC-5,16
T1200,PR.AC-5,16
T1557.002,PR.AC-5,16
T1542.005,PR.AC-5,16
T1021.002,PR.AC-5,16
T1071,DE.CM-1,17
T1071.001,DE.CM-1,17
T1071.002,DE.CM-1,17
T1071.003,DE.CM-1,17
T1071.004,DE.CM-1,17
T1132,DE.CM-1,17
T1132.001,DE.CM-1,17
T1132.002,DE.CM-1,17
T1602,DE.CM-1,17
T1602.001,DE.CM-1,17
T1602.002,DE.CM-1,17
T1001,DE.CM-1,17
T1001.001,DE.CM-1,17
T1001.002,DE.CM-1,17
T1001.003,DE.CM-1,17
T1030,DE.CM-1,17
T1568,DE.CM-1,17
T1568.002,DE.CM-1,17
T1573,DE.CM-1,17
T1573.001,DE.CM-1,17
T1573.002,DE.CM-1,17
T1048,DE.CM-1,17
T1048.001,DE.CM-1,17
T1048.002,DE.CM-1,17
T1048.003,DE.CM-1,17
T1041,DE.CM-1,17
T1008,DE.CM-1,17
T1105,DE.CM-1,17
T1570,DE.CM-1,17
T1557,DE.CM-1,17
T1557.001,DE.CM-1,17
T1557.002,DE.CM-1,17
T1104,DE.CM-1,17
T1046,DE.CM-1,17
T1095,DE.CM-1,17
T1571,DE.CM-1,17
T1566,DE.CM-1,17
T1566.001,DE.CM-1,17
T1542.005,DE.CM-1,17
T1542.004,DE.CM-1,17
T1572,DE.CM-1,17
T1090,DE.CM-1,17
T1090.001,DE.CM-1,17
T1090.002,DE.CM-1,17
T1219,DE.CM-1,17
T1029,DE.CM-1,17
T1221,DE.CM-1,17
T1204,DE.CM-1,17
T1204.001,DE.CM-1,17
T1102,DE.CM-1,17
T1102.001,DE.CM-1,17
T1102.002,DE.CM-1,17
T1102.003,DE.CM-1,17
T1546.008,DE.CM-7,18
T1133,DE.CM-7,18
T1563.002,DE.CM-7,18
T1021.001,DE.CM-7,18
T1546.008,PR.MA-2,18
T1133,PR.MA-2,18
T1563.002,PR.MA-2,18
T1021.001,PR.MA-2,18
T1546.008,PR.AC-7,18
T1133,PR.AC-7,18
T1563.002,PR.AC-7,18
T1021.001,PR.AC-7,18
T1546.008,PR.AC-3,18
T1133,PR.AC-3,18
T1563.002,PR.AC-3,18
T1021.001,PR.AC-3,18
T1213,PR.AT-1,19
T1213.001,PR.AT-1,19
T1213.002,PR.AT-1,19
T1056.002,PR.AT-1,19
T1003,PR.AT-1,19
T1003.001,PR.AT-1,19
T1003.002,PR.AT-1,19
T1003.005,PR.AT-1,19
T1003.004,PR.AT-1,19
T1003.003,PR.AT-1,19
T1566,PR.AT-1,19
T1566.001,PR.AT-1,19
T1566.002,PR.AT-1,19
T1566.003,PR.AT-1,19
T1598,PR.AT-1,19
T1598.001,PR.AT-1,19
T1598.002,PR.AT-1,19
T1598.003,PR.AT-1,19
T1528,PR.AT-1,19
T1539,PR.AT-1,19
T1221,PR.AT-1,19
T1111,PR.AT-1,19
T1204,PR.AT-1,19
T1204.001,PR.AT-1,19
T1204.002,PR.AT-1,19
T1213,ID.GV-1,19
T1213.001,ID.GV-1,19
T1213.002,ID.GV-1,19
T1056.002,ID.GV-1,19
T1003,ID.GV-1,19
T1003.001,ID.GV-1,19
T1003.002,ID.GV-1,19
T1003.005,ID.GV-1,19
T1003.004,ID.GV-1,19
T1003.003,ID.GV-1,19
T1566,ID.GV-1,19
T1566.001,ID.GV-1,19
T1566.002,ID.GV-1,19
T1566.003,ID.GV-1,19
T1598,ID.GV-1,19
T1598.001,ID.GV-1,19
T1598.002,ID.GV-1,19
T1598.003,ID.GV-1,19
T1528,ID.GV-1,19
T1539,ID.GV-1,19
T1221,ID.GV-1,19
T1111,ID.GV-1,19
T1204,ID.GV-1,19
T1204.001,ID.GV-1,19
T1204.002,ID.GV-1,19
T1213,ID.AM-6,19
T1213.001,ID.AM-6,19
T1213.002,ID.AM-6,19
T1056.002,ID.AM-6,19
T1003,ID.AM-6,19
T1003.001,ID.AM-6,19
T1003.002,ID.AM-6,19
T1003.005,ID.AM-6,19
T1003.004,ID.AM-6,19
T1003.003,ID.AM-6,19
T1566,ID.AM-6,19
T1566.001,ID.AM-6,19
T1566.002,ID.AM-6,19
T1566.003,ID.AM-6,19
T1598,ID.AM-6,19
T1598.001,ID.AM-6,19
T1598.002,ID.AM-6,19
T1598.003,ID.AM-6,19
T1528,ID.AM-6,19
T1539,ID.AM-6,19
T1221,ID.AM-6,19
T1111,ID.AM-6,19
T1204,ID.AM-6,19
T1204.001,ID.AM-6,19
T1204.002,ID.AM-6,19
T1072,PR.AT-1,20
T1552,PR.AT-1,20
T1552.001,PR.AT-1,20
T1072,PR.AT-2,20
T1552,PR.AT-2,20
T1552.001,PR.AT-2,20
T1072,PR.AT-4,20
T1552,PR.AT-4,20
T1552.001,PR.AT-4,20
T1072,PR.AT-5,20
T1552,PR.AT-5,20
T1552.001,PR.AT-5,20
